Reference, Value, Footprint, Datasheet, Product ID, Manufacturer, Tolerance
C1,0.1uF,MKB:C_0603,,GCM188R71H104KA57D,Murata, 
C5,0.1uF,MKB:C_0603,,GCM188R71H104KA57D,Murata, 
C6,0.1uF,MKB:C_0603,,GCM188R71H104KA57D,Murata, 
C4,0.1uF,MKB:C_0603,,GCM188R71H104KA57D,Murata, 
R50,0R,MKB:R_0603,,RC0603FR-072KL,Yageo,1%
R9,100R,MKB:R_0603,,APC0603T100RZ,Ohmite,0.01%
R10,100R,MKB:R_0603,,APC0603T100RZ,Ohmite,0.01%
R11,100R,MKB:R_0603,,APC0603T100RZ,Ohmite,0.01%
R12,100R,MKB:R_0603,,APC0603T100RZ,Ohmite,0.01%
R3,100R,MKB:R_0603,,RC0603FR-07100RL,Yageo, 
R17,10k,MKB:R_0603,,APC0603T10K0Z,Ohmite,0.01%
R18,10k,MKB:R_0603,,APC0603T10K0Z,Ohmite,0.01%
R2,10k,MKB:R_0603,,RC0603FR-0710KL,Yageo, 
R39,10M,MKB:R_0603,,CRCW060310M0DHEAP,Vishay Dale,0.50%
R40,10M,MKB:R_0603,,CRCW060310M0DHEAP,Vishay Dale,0.50%
R41,10M,MKB:R_0603,,CRCW060310M0DHEAP,Vishay Dale,0.50%
R42,10M,MKB:R_0603,,CRCW060310M0DHEAP,Vishay Dale,0.50%
R43,10M,MKB:R_0603,,CRCW060310M0DHEAP,Vishay Dale,0.50%
R44,10M,MKB:R_0603,,CRCW060310M0DHEAP,Vishay Dale,0.50%
R45,10M,MKB:R_0603,,CRCW060310M0DHEAP,Vishay Dale,0.50%
R46,10M,MKB:R_0603,,CRCW060310M0DHEAP,Vishay Dale,0.50%
R47,10M,MKB:R_0603,,CRCW060310M0DHEAP,Vishay Dale,0.50%
R48,10M,MKB:R_0603,,CRCW060310M0DHEAP,Vishay Dale,0.50%
C2,10nF,MKB:C_0603,,GRM188R71H103JA01D,Murata, 
R20,10R,MKB:R_0603,,RC0603FR-0710RL,Yageo,1%
R5,10R,MKB:R_1206,,RNCF1206AKT10R0,Stackpole Electronics,0.05%
R6,10R,MKB:R_1206,,RNCF1206AKT10R0,Stackpole Electronics,0.05%
R7,10R,MKB:R_1206,,RNCF1206AKT10R0,Stackpole Electronics,0.05%
R8,10R,MKB:R_1206,,RNCF1206AKT10R0,Stackpole Electronics,0.05%
R13,1k,MKB:R_0805,,APC0805T1K00Z,Ohmite,0.01%
R38,1M,MKB:R_0805,,CPF0805B1M0E1,TE Connectivity,0.10%
R21,1M,MKB:R_1206,,RG3216N-1004-W-T1,Susumu,0.05%
R22,1M,MKB:R_1206,,RG3216N-1004-W-T1,Susumu,0.05%
R23,1M,MKB:R_1206,,RG3216N-1004-W-T1,Susumu,0.05%
R16,1R,MKB:R_0603,,RC0603FR-071RL,Yageo,1%
C3,1uF,MKB:C_0603,,GCM188R71H104KA57D,Murata, 
R1,270R,MKB:R_0603,,RC0603FR-07270RL,Yageo, 
R14,2k,MKB:R_1206,,APC1206T2K00Z,Ohmite,0.01%
R49,2k,MKB:R_0603,,RC0603FR-072KL,Yageo,1%
R26,2M,MKB:R_0805,,CPF0805B2M0E1,TE Connectivity,0.10%
R27,2M,MKB:R_0805,,CPF0805B2M0E1,TE Connectivity,0.10%
R28,2M,MKB:R_0805,,CPF0805B2M0E1,TE Connectivity,0.10%
R29,2M,MKB:R_0805,,CPF0805B2M0E1,TE Connectivity,0.10%
R30,2M,MKB:R_0805,,CPF0805B2M0E1,TE Connectivity,0.10%
R31,2M,MKB:R_0805,,CPF0805B2M0E1,TE Connectivity,0.10%
R32,2M,MKB:R_0805,,CPF0805B2M0E1,TE Connectivity,0.10%
R33,2M,MKB:R_0805,,CPF0805B2M0E1,TE Connectivity,0.10%
R34,2M,MKB:R_0805,,CPF0805B2M0E1,TE Connectivity,0.10%
R35,2M,MKB:R_0805,,CPF0805B2M0E1,TE Connectivity,0.10%
R36,2M,MKB:R_0805,,CPF0805B2M0E1,TE Connectivity,0.10%
R37,2M,MKB:R_0805,,CPF0805B2M0E1,TE Connectivity,0.10%
R25,30k,MKB:R_0603,,RG1608N-303-W-T1,Susumu,0.05%
R24,470k,MKB:R_0805,,RG2012N-474-W-T1,Susumu,0.05%
R4,470R,MKB:R_0805,,RC0805FR-07470RL,Yageo, 
R15,499R,MKB:R_0805,,APC0805T499RZ,Ohmite,0.01%
R19,4k99,MKB:R_0603,,APC0603T4K99Z,Ohmite,0.01%
F1,750mA,MKB:FUSE_0603,,C2Q 750,Bel Fuse, 
P2,CONN_01X01,MKB:Binding_post_4mm,,_,_, 
P3,CONN_01X01,MKB:Binding_post_4mm,,_,_, 
P5,CONN_01X02,MKB:TerminalBlock_Pheonix_MKDS1.5-2pol_1985849,,1985849,Phoenix Contact,
P1,CONN_02X03,Pin_Headers:Pin_Header_Straight_2x03,,,,
P4,CONN_02X09,Pin_Headers:Pin_Header_Straight_2x09,,,,
U2,MAX6070,MKB:SOT-23-6,,MAX6070AAUT12+T,Maxim Integrated, 
U1,MCP6V11T-E/OT,MKB:SOT-23-6,,MCP6V11T-E/OT,Microchip, 
Q1,Q_NMOS_GDS,MKB:TO-252_wHeatsink,,BUK92150-55A_118,Nexperia, 
,,,,1551RBK,Hammond Manufacturing,
